fold,nearest_similarity,nearest_same_original_recording,retrieval_activated_at_selected_threshold
5,0.79493654,False,False
2,0.99734765,False,True
4,0.99635744,False,True
1,0.99594873,True,True
2,0.9933812,True,False
2,0.9968604,True,True
5,0.9968604,True,True
1,0.9967297,False,True
2,0.9969739,False,True
4,0.9964475,True,True
3,0.974966,False,False
5,0.9414555,False,False
4,0.95834494,True,False
2,0.7261524,False,False
3,0.96034867,False,False
4,0.9828582,False,False
3,0.9827976,False,False
4,0.97473776,True,False
1,0.97473776,True,False
5,0.9655441,False,False
5,0.91450036,False,False
2,0.93596005,True,False
3,0.94291556,True,False
1,0.94291556,True,False
2,0.9731116,True,False
3,0.93322045,True,False
1,0.9731116,True,False
1,0.698989,False,False
1,0.9619702,True,False
3,0.8707508,False,False
5,0.9619702,True,False
3,0.9521923,False,False
3,0.879538,False,False
1,0.941836,True,False
2,0.98225605,False,False
4,0.9718186,False,False
2,0.974966,False,False
5,0.9999999,False,True
3,0.99999756,False,True
3,0.97712594,True,False
4,0.9818282,False,False
5,0.95261484,True,False
4,0.9205488,True,False
2,0.95261484,True,False
2,0.95244944,False,False
2,0.9050254,False,False
3,0.9460082,True,False
3,0.9321685,True,False
2,0.9338082,True,False
5,0.9338082,True,False
1,0.99734765,False,True
4,0.9969739,False,True
5,0.99583364,True,True
3,0.98225605,False,False
1,0.9830312,True,False
5,0.9830312,True,False
5,0.9596613,True,False
1,0.9818282,False,False
5,0.8300264,False,False
1,0.9655441,False,False
3,0.89639306,False,False
1,0.9643152,True,False
3,0.9534489,False,False
4,0.9643152,True,False
3,0.92885244,True,False
4,0.8283794,True,False
1,0.92885244,True,False
1,0.9749164,False,False
2,0.97748053,False,False
3,0.9718963,True,False
1,0.9830009,True,False
5,0.9830009,True,False
4,0.9908705,True,False
5,0.99393606,True,False
4,0.99393606,True,False
5,0.9725231,True,False
3,0.95962936,False,False
1,0.9725231,True,False
2,0.9712248,False,False
3,0.96280587,False,False
4,0.92955196,True,False
1,0.9374881,True,False
4,0.9374881,True,False
2,0.9443105,True,False
5,0.9443105,True,False
1,0.96607256,False,False
2,0.9528167,False,False
1,0.9047371,False,False
2,0.9469316,False,False
5,0.9780986,False,False
2,0.98174274,True,False
5,0.98174274,True,False
4,0.9863307,False,False
3,0.9863157,True,False
1,0.97571963,False,False
1,0.9619777,True,False
4,0.8964875,False,False
3,0.9619777,True,False
4,0.9753486,True,False
2,0.9753486,True,False
5,0.90712166,True,False
1,0.90712166,True,False
2,0.9668746,False,False
3,0.9601805,False,False
1,0.9752497,True,False
4,0.9549012,True,False
2,0.9752497,True,False
4,0.9129052,False,False
4,0.97514784,True,False
3,0.9852258,True,False
5,0.9852258,True,False
3,0.9702704,False,False
5,0.9627016,True,False
2,0.96826255,False,False
3,0.9600167,True,False
2,0.9434386,True,False
5,0.9434386,True,False
1,0.940755,True,False
4,0.940755,True,False
2,0.9565096,True,False
1,0.9565096,True,False
2,0.94941145,True,False
2,0.9047371,False,False
5,0.94941145,True,False
2,0.9927972,True,False
5,0.94310284,True,False
5,0.9927972,True,False
1,0.93778694,True,False
1,0.8676716,False,False
5,0.93778694,True,False
1,0.98800164,True,False
4,0.98800164,True,False
1,0.9634789,True,False
3,0.9634789,True,False
5,0.9763179,True,False
5,0.97748053,False,False
3,0.9763179,True,False
4,0.9756822,False,False
4,0.9301475,False,False
4,0.8608799,False,False
2,0.8892903,True,False
4,0.8892903,True,False
2,0.95387876,False,False
2,0.9118471,True,False
5,0.9118471,True,False
5,0.97923344,True,False
2,0.97923344,True,False
4,0.95999616,False,False
1,0.9415542,True,False
5,0.9846467,True,False
3,0.961351,False,False
2,0.9846467,True,False
4,0.94654953,False,False
4,0.9441094,False,False
4,0.9581425,False,False
3,0.9804301,True,False
2,0.9804301,True,False
4,0.9517548,True,False
1,0.88903546,True,False
1,0.9517548,True,False
3,0.93039346,True,False
5,0.9070655,True,False
4,0.93039346,True,False
3,0.95725596,True,False
1,0.9382913,True,False
4,0.95725596,True,False
3,0.9729556,False,False
4,0.9598833,False,False
3,0.9445332,False,False
2,0.94472194,True,False
4,0.8040345,True,False
1,0.94472194,True,False
1,0.97230345,False,False
2,0.87035894,False,False
4,0.968629,True,False
5,0.8829408,False,False
4,0.97785157,True,False
3,0.8370322,False,False
3,0.97785157,True,False
3,0.9860737,False,False
4,0.930547,False,False
4,0.9870658,False,False
4,0.9956856,True,True
4,0.99366605,False,False
5,0.9956856,True,True
5,0.9735086,True,False
3,0.94024664,False,False
4,0.9735086,True,False
5,0.9503643,False,False
4,0.9016209,False,False
5,0.97823656,True,False
3,0.93896407,False,False
4,0.97823656,True,False
2,0.8554282,False,False
2,0.77565527,False,False
1,0.98029244,True,False
1,0.9716623,False,False
5,0.98029244,True,False
5,0.96148574,False,False
4,0.9601601,False,False
1,0.9016209,False,False
1,0.93427014,True,False
1,0.86788654,False,False
2,0.93427014,True,False
2,0.95255095,False,False
2,0.9514227,False,False
3,0.96913666,False,False
4,0.94024664,False,False
1,0.9684355,True,False
